#鳴潮,2025/01/04,280887,161376,119,0
#鳴潮,2025/01/05,77581,56025,126,0
#鳴潮,2025/01/06,142905,76896,122,0
#鳴潮,2025/01/07,216894,151447,93,0
#鳴潮,2025/01/08,136180,55847,102,0
#鳴潮,2025/01/09,93269,71466,106,0
#鳴潮,2025/01/10,159852,55821,105,0
#鳴潮,2025/01/11,188158,58010,114,0
#鳴潮,2025/01/12,135951,42597,100,0
#鳴潮,2025/01/13,106598,87529,109,0
#鳴潮,2025/01/14,103780,50849,106,0
#鳴潮,2025/01/15,116486,96171,101,0
#鳴潮,2025/01/16,111978,46777,90,0
#鳴潮,2025/01/17,123363,19383,111,0
#鳴潮,2025/01/18,317533,268855,102,0
#鳴潮,2025/01/19,112502,37247,93,0
#鳴潮,2025/01/20,121323,55639,106,0
#鳴潮,2025/01/21,175117,36090,80,0
#鳴潮,2025/01/22,110601,35365,104,0
#鳴潮,2025/01/23,250418,142654,135,0
#鳴潮,2025/01/24,111093,38480,123,0
#鳴潮,2025/01/25,125807,90200,97,0
#鳴潮,2025/01/26,111052,56214,114,0
#鳴潮,2025/01/27,237745,21701,100,0
#鳴潮,2025/01/28,49544,25738,77,0
#鳴潮,2025/01/29,139629,66443,82,0
#鳴潮,2025/01/30,61128,24822,78,0
#鳴潮,2025/01/31,75968,33842,69,0
#鳴潮,2025/02/01,63167,38876,74,0
#鳴潮,2025/02/02,62537,54569,89,0
#鳴潮,2025/02/03,106785,33235,89,0
#鳴潮,2025/02/04,45902,35817,75,0
#鳴潮,2025/02/05,49747,23086,87,0
#鳴潮,2025/02/06,28791,20399,66,0
#鳴潮,2025/02/07,390967,278605,97,0
#鳴潮,2025/02/08,186523,76042,88,0
#鳴潮,2025/02/09,153123,36385,89,0
#鳴潮,2025/02/10,110474,65089,73,0
#鳴潮,2025/02/11,165155,52624,94,0
#鳴潮,2025/02/12,158095,42354,104,0
#鳴潮,2025/02/13,390281,188002,189,0
#鳴潮,2025/02/14,124279,57793,114,0
#鳴潮,2025/02/15,175431,100389,122,0
#鳴潮,2025/02/16,169726,53800,103,0
#鳴潮,2025/02/17,83932,42470,90,0
#鳴潮,2025/02/18,71714,29058,99,0
#鳴潮,2025/02/19,62218,37063,102,0
#鳴潮,2025/02/20,169185,109055,100,0
