synduality1day,2025/01/16,44171,41788,111
synduality1day,2025/01/17,80462,66184,120
synduality1day,2025/01/18,57547,55827,130
synduality1day,2025/01/19,31544,28930,149
synduality1day,2025/01/20,68498,66571,132
synduality1day,2025/01/21,28046,23098,129
synduality1day,2025/01/22,46088,37951,166
synduality1day,2025/01/23,48761,46515,143
synduality1day,2025/01/24,63170,43712,179
synduality1day,2025/01/25,105242,42600,189
synduality1day,2025/01/26,88107,79778,192
synduality1day,2025/01/27,134785,128910,219
synduality1day,2025/01/28,35866,33740,181
synduality1day,2025/01/29,104053,59474,150
