Twitch1dayMechaBreak,2025/2/28,56027,56027,544
Twitch1dayMechaBreak,2025/3/4,45705,45705,364
Twitch1dayMechaBreak,2025/3/5,77929,77929,370
Twitch1dayMechaBreak,2025/3/6,269664,269664,398
Twitch1dayMechaBreak,2025/3/7,54196,54196,377
Twitch1dayMechaBreak,2025/3/8,62575,62575,394
Twitch1dayMechaBreak,2025/3/9,81300,81300,367
Twitch1dayMechaBreak,2025/3/10,16175,16175,278
Twitch1dayMechaBreak,2025/3/11,18785,18785,263
Twitch1dayMechaBreak,2025/3/12,25447,25447,244
Twitch1dayMechaBreak,2025/3/13,54291,54291,250
Twitch1dayMechaBreak,2025/3/14,41878,41878,243
Twitch1dayMechaBreak,2025/3/15,74100,74100,229
Twitch1dayMechaBreak,2025/3/16,22977,22977,176
