#コンパス戦闘摂理解析システム,2025/01/06,21808,0,15,0
#コンパス戦闘摂理解析システム,2025/01/07,22040,61,10,0
#コンパス戦闘摂理解析システム,2025/01/08,23158,0,12,0
#コンパス戦闘摂理解析システム,2025/01/09,6083,0,6,0
#コンパス戦闘摂理解析システム,2025/01/10,10082,95,4,0
#コンパス戦闘摂理解析システム,2025/01/11,28056,0,12,0
#コンパス戦闘摂理解析システム,2025/01/12,22126,79,11,0
#コンパス戦闘摂理解析システム,2025/01/13,35580,125,21,0
#コンパス戦闘摂理解析システム,2025/01/14,14526,0,14,0
#コンパス戦闘摂理解析システム,2025/01/15,18608,0,15,0
#コンパス戦闘摂理解析システム,2025/01/16,23039,59,16,0
#コンパス戦闘摂理解析システム,2025/01/17,24681,6455,19,0
#コンパス戦闘摂理解析システム,2025/01/18,11581,0,11,0
#コンパス戦闘摂理解析システム,2025/01/19,13019,79,15,0
#コンパス戦闘摂理解析システム,2025/01/20,24811,144,13,0
#コンパス戦闘摂理解析システム,2025/01/21,10833,57,11,0
#コンパス戦闘摂理解析システム,2025/01/22,31638,0,22,0
#コンパス戦闘摂理解析システム,2025/01/23,19032,0,16,0
#コンパス戦闘摂理解析システム,2025/01/24,22091,90,14,0
#コンパス戦闘摂理解析システム,2025/01/25,24165,0,21,0
#コンパス戦闘摂理解析システム,2025/01/26,21158,0,26,0
#コンパス戦闘摂理解析システム,2025/01/27,27940,95,21,0
#コンパス戦闘摂理解析システム,2025/01/28,25720,0,20,0
#コンパス戦闘摂理解析システム,2025/01/29,28174,4767,20,0
#コンパス戦闘摂理解析システム,2025/01/30,17700,0,12,0
#コンパス戦闘摂理解析システム,2025/01/31,30931,0,20,0
#コンパス戦闘摂理解析システム,2025/02/01,28401,63,23,0
#コンパス戦闘摂理解析システム,2025/02/02,11724,119,17,0
#コンパス戦闘摂理解析システム,2025/02/03,25581,0,23,0
#コンパス戦闘摂理解析システム,2025/02/04,27654,0,17,0
#コンパス戦闘摂理解析システム,2025/02/05,18345,74,12,0
#コンパス戦闘摂理解析システム,2025/02/06,20708,60,13,0
#コンパス戦闘摂理解析システム,2025/02/07,18149,4415,20,0
#コンパス戦闘摂理解析システム,2025/02/08,21376,0,17,0
#コンパス戦闘摂理解析システム,2025/02/09,13421,90,10,0
#コンパス戦闘摂理解析システム,2025/02/10,17622,0,13,0
#コンパス戦闘摂理解析システム,2025/02/11,12779,0,9,0
#コンパス戦闘摂理解析システム,2025/02/12,18527,5076,14,0
#コンパス戦闘摂理解析システム,2025/02/13,23204,75,20,0
#コンパス戦闘摂理解析システム,2025/02/14,18299,0,14,0
#コンパス戦闘摂理解析システム,2025/02/15,33453,5889,14,0
#コンパス戦闘摂理解析システム,2025/02/16,12137,0,10,0
#コンパス戦闘摂理解析システム,2025/02/17,18573,0,14,0
#コンパス戦闘摂理解析システム,2025/02/18,10903,87,10,0
#コンパス戦闘摂理解析システム,2025/02/19,20108,0,13,0
#コンパス戦闘摂理解析システム,2025/02/20,18421,0,13,0
#コンパス戦闘摂理解析システム,2025/02/21,17864,0,13,0
#コンパス戦闘摂理解析システム,2025/02/22,20239,56,15,0
#コンパス戦闘摂理解析システム,2025/02/23,18319,89,15,0
#コンパス戦闘摂理解析システム,2025/02/24,24288,11828,16,0
#コンパス戦闘摂理解析システム,2025/02/25,9852,116,15,0
#コンパス戦闘摂理解析システム,2025/02/26,11571,45,14,0
#コンパス戦闘摂理解析システム,2025/02/27,5985,0,8,0
#コンパス戦闘摂理解析システム,2025/02/28,3267,64,5,0
#コンパス戦闘摂理解析システム,2025/03/01,3863,0,4,0
#コンパス戦闘摂理解析システム,2025/03/02,2502,0,7,0
#コンパス戦闘摂理解析システム,2025/03/03,6825,0,9,0
#コンパス戦闘摂理解析システム,2025/03/04,2851,0,10,0
#コンパス戦闘摂理解析システム,2025/03/05,3232,71,8,0
#コンパス戦闘摂理解析システム,2025/03/06,7656,53,11,0
#コンパス戦闘摂理解析システム,2025/03/07,1512,0,4,0
#コンパス戦闘摂理解析システム,2025/03/08,6616,4543,7,0
#コンパス戦闘摂理解析システム,2025/03/09,6099,64,11,0
#コンパス戦闘摂理解析システム,2025/03/10,8884,0,11,0
#コンパス戦闘摂理解析システム,2025/03/11,6753,89,9,0
#コンパス戦闘摂理解析システム,2025/03/12,11288,0,15,0
#コンパス戦闘摂理解析システム,2025/03/13,6651,56,11,0
#コンパス戦闘摂理解析システム,2025/03/14,3884,0,7,0
#コンパス戦闘摂理解析システム,2025/03/15,6170,3991,10,0
#コンパス戦闘摂理解析システム,2025/03/16,1742,0,5,0
#コンパス戦闘摂理解析システム,2025/03/17,4392,114,7,0
#コンパス戦闘摂理解析システム,2025/03/18,4260,0,6,0
#コンパス戦闘摂理解析システム,2025/03/19,13168,0,9,0
#コンパス戦闘摂理解析システム,2025/03/20,1459,0,4,0
#コンパス戦闘摂理解析システム,2025/03/21,11615,0,11,0
#コンパス戦闘摂理解析システム,2025/03/22,5665,0,8,0
#コンパス戦闘摂理解析システム,2025/03/23,2657,0,7,0
#コンパス戦闘摂理解析システム,2025/03/24,14618,63,16,0
#コンパス戦闘摂理解析システム,2025/03/25,9233,31,15,0
#コンパス戦闘摂理解析システム,2025/03/26,10984,0,11,0
#コンパス戦闘摂理解析システム,2025/03/27,6477,0,10,0
#コンパス戦闘摂理解析システム,2025/03/28,7260,0,15,0
#コンパス戦闘摂理解析システム,2025/03/29,14761,0,17,0
#コンパス戦闘摂理解析システム,2025/03/30,9892,0,13,0
#コンパス戦闘摂理解析システム,2025/03/31,23310,60,11,0
#コンパス戦闘摂理解析システム,2025/04/01,33357,0,14,0
#コンパス戦闘摂理解析システム,2025/04/02,17134,0,10,0
#コンパス戦闘摂理解析システム,2025/04/03,27698,92,14,0
#コンパス戦闘摂理解析システム,2025/04/04,31133,0,13,0
#コンパス戦闘摂理解析システム,2025/04/05,35289,4116,11,0
#コンパス戦闘摂理解析システム,2025/04/06,22714,0,13,0
#コンパス戦闘摂理解析システム,2025/04/07,17615,85,15,0
#コンパス戦闘摂理解析システム,2025/04/08,21644,55,21,0
#コンパス戦闘摂理解析システム,2025/04/09,14431,0,12,0
#コンパス戦闘摂理解析システム,2025/04/10,13597,0,8,0
#コンパス戦闘摂理解析システム,2025/04/11,23938,4514,14,0
#コンパス戦闘摂理解析システム,2025/04/12,16988,110,13,0
#コンパス戦闘摂理解析システム,2025/04/13,14953,0,11,0
#コンパス戦闘摂理解析システム,2025/04/14,9779,173,7,0
#コンパス戦闘摂理解析システム,2025/04/15,12426,0,7,0
#コンパス戦闘摂理解析システム,2025/04/16,12365,0,7,0
#コンパス戦闘摂理解析システム,2025/04/17,21875,120,11,0
#コンパス戦闘摂理解析システム,2025/04/18,18142,0,13,0
#コンパス戦闘摂理解析システム,2025/04/19,24155,3528,14,0
#コンパス戦闘摂理解析システム,2025/04/20,9720,168,8,0
#コンパス戦闘摂理解析システム,2025/04/21,16994,0,10,0
#コンパス戦闘摂理解析システム,2025/04/22,13846,0,10,0
