イニブ,2025/05/26,244354,37542,52,0
イニブ,2025/05/27,277155,37654,77,0
イニブ,2025/05/28,181676,37070,51,0
イニブ,2025/05/29,204239,53455,62,0
イニブ,2025/05/30,159224,29600,66,0
イニブ,2025/05/31,182381,59456,71,0
イニブ,2025/06/01,243448,54680,79,0
イニブ,2025/06/02,184973,22666,78,0
イニブ,2025/06/03,139403,23440,72,0
イニブ,2025/06/04,290215,48260,69,0
イニブ,2025/06/05,184291,46146,74,0
イニブ,2025/06/06,182528,34763,57,0
イニブ,2025/06/07,200284,46123,72,0
イニブ,2025/06/08,160933,46678,72,0
イニブ,2025/06/09,415361,26327,70,0
イニブ,2025/06/10,189017,30924,65,0
イニブ,2025/06/11,234143,33017,73,0
イニブ,2025/06/12,238492,61769,74,0
イニブ,2025/06/13,314927,91567,65,0
イニブ,2025/06/14,163381,24902,60,0
イニブ,2025/06/15,215945,73177,75,0
イニブ,2025/06/16,147258,20394,60,0
イニブ,2025/06/17,227381,55404,60,0
イニブ,2025/06/18,333601,22518,69,0
イニブ,2025/06/19,164990,28848,58,0
イニブ,2025/06/20,233136,107863,64,0
イニブ,2025/06/21,118095,54212,64,0
イニブ,2025/06/22,247773,97264,93,0
イニブ,2025/06/23,138469,48993,70,0
イニブ,2025/06/24,161132,29812,52,0
イニブ,2025/06/25,197475,22503,48,0
イニブ,2025/06/26,217505,16554,53,0
イニブ,2025/06/27,195860,33419,65,0
イニブ,2025/06/28,187083,22733,58,0
イニブ,2025/06/29,160359,80844,85,0
イニブ,2025/06/30,233426,7714,56,0
イニブ,2025/07/01,278571,18844,42,0
イニブ,2025/07/02,236374,28758,48,0
イニブ,2025/07/03,163078,23477,45,0
イニブ,2025/07/04,134652,34369,59,0
イニブ,2025/07/05,276361,25519,63,0
イニブ,2025/07/07,145044,71253,55,0
イニブ,2025/07/08,110708,18253,65,0
イニブ,2025/07/09,132019,26432,53,0
イニブ,2025/07/10,96644,29843,60,0
イニブ,2025/07/11,133614,18830,61,0
イニブ,2025/07/12,107315,32991,107,0
イニブ,2025/07/13,156575,26618,105,0
イニブ,2025/07/14,163081,67338,82,0
イニブ,2025/07/15,199911,33174,74,0
イニブ,2025/07/17,1368336,394608,158,0
イニブ,2025/07/18,1421310,339737,160,0
イニブ,2025/07/19,930045,169781,159,0
イニブ,2025/07/20,544080,167724,145,0
イニブ,2025/07/21,831189,119437,184,0
イニブ,2025/07/22,554292,117187,111,0
イニブ,2025/07/23,615410,120299,121,0
イニブ,2025/07/24,588840,143042,114,0
イニブ,2025/07/25,778996,171481,117,0
イニブ,2025/07/26,489627,96268,133,0
イニブ,2025/07/27,323375,108944,134,0
イニブ,2025/07/28,407514,105996,100,0
イニブ,2025/07/29,266126,70264,95,0
イニブ,2025/07/30,623120,275495,105,0
イニブ,2025/07/31,336383,98655,116,0
イニブ,2025/08/01,427521,43859,85,0
イニブ,2025/08/02,346709,49324,138,0
イニブ,2025/08/03,504567,226960,147,0
イニブ,2025/08/04,661511,69217,100,0
イニブ,2025/08/05,359257,68746,100,0
イニブ,2025/08/06,527996,263897,109,0
イニブ,2025/08/07,359754,138229,106,0
イニブ,2025/08/08,353367,94745,100,0
イニブ,2025/08/09,332095,120728,110,0
イニブ,2025/08/10,334441,110812,100,0
イニブ,2025/08/11,389244,226122,121,0
イニブ,2025/08/12,271304,91039,118,0
イニブ,2025/08/13,372702,76726,122,0
イニブ,2025/08/14,357832,37349,107,0
イニブ,2025/08/15,337327,108864,112,0
イニブ,2025/08/16,262730,85743,120,0
イニブ,2025/08/17,306776,57103,138,0
イニブ,2025/08/18,288346,53222,84,0
イニブ,2025/08/19,245085,51893,74,0
イニブ,2025/08/20,443553,185992,118,0
イニブ,2025/08/21,410348,44130,86,0
イニブ,2025/08/22,226003,57943,75,0
イニブ,2025/08/23,403745,173083,101,0
イニブ,2025/08/24,250139,64042,112,0
イニブ,2025/08/25,244503,52533,101,0
イニブ,2025/08/26,268605,57715,79,0
イニブ,2025/08/27,341784,126347,106,0
イニブ,2025/08/28,305719,35258,117,0
